MUN_OCOR;Latitude;Longitude
ITAPIRAPUÃ;-15.8204999;-50.6094341
SANTA TEREZINHA DE GOIÁS;-14.4361002;-49.7092915
NOVO BRASIL;-16.0337152;-50.7112124
ARINOS;-15.917223;-46.106111
BONFINÓPOLIS DE MINAS;-16.5660011;-45.98645
LIMEIRA DO OESTE;-19.5521959;-50.5772673
SANTO ANTÔNIO DAS MISSÕES;-28.5117897;-55.2290047
GARRUCHOS;-28.1892458;-55.6382958
JAGUARI;-29.4980313;-54.6919404
SANTA VITÓRIA;-18.8465718;-50.1292823
SANTIAGO;-29.189675;-54.866624
APARECIDA DE GOIÂNIA;-16.8226769;-49.2452546
CATALÃO;-18.1702546;-47.9447082
GOIÂNIA;-16.680882;-49.2532691
BRASÍLIA;-15.7939869;-47.8828
JATAÍ;-17.8856178;-51.7202967
LUZIÂNIA;-16.2535456;-47.9500276
ITUMBIARA;-18.4135862;-49.2172596
NOVO GAMA;-16.0496528;-48.0304615
ORIZONA;-17.0333812;-48.2963748
PALESTINA DE GOIÁS;-16.7456647;-51.530084
NATALÂNDIA;-16.5042;-46.4933
BRASILÂNDIA DE MINAS;-17.0096409;-46.0087622
ANASTÁCIO;-20.4832458;-55.8048448
NOVA ALIANÇA;-21.0163728;-49.4981128
MENDONÇA;-21.1838813;-49.579059
DIANÓPOLIS;-11.624008;-46.819787
RIO QUENTE;-17.8067173;-48.7648226
SAUDADE DO IGUAÇU;-25.6915533;-52.6184857
URUPÊS;-21.2027026;-49.2921996
CORUMBÁ;-19.0016365;-57.6534316
TIRADENTES DO SUL;-27.3973624;-54.0853785
AGUDO;-29.6423259;-53.2494005
PARACATU;-17.2174056;-46.8707514
ANDRÉ DA ROCHA;-28.6309124;-51.5733328
ANTÔNIO PRADO;-28.8567806;-51.2801355
CAIBATÉ;-28.287909;-54.64027
AUGUSTO PESTANA;-28.5148413;-53.9906433
CORONEL BARROS;-28.3826325;-54.0704116
BARRACÃO;-27.6722339;-51.4583497
ENTRE-IJUÍS;-28.361628;-54.2670019
TUPANCIRETÃ;-29.0798756;-53.8386668
BARROS CASSAL;-29.094938;-52.5832366
BOA VISTA DO CADEADO;-28.5783827;-53.8123759
IJUÍ;-28.3878734;-53.9201692
BOSSOROCA;-28.7278885;-54.9120278
CAÇAPAVA DO SUL;-30.5113286;-53.4916761
SÃO NICOLAU;-28.1857386;-55.2615035
JÓIA;-28.6465036;-54.1199165
CACHOEIRA DO SUL;-30.0482234;-52.8901686
PIRAPÓ;-28.045428;-55.1987198
TUNAS;-29.1053032;-52.9569329
FORTALEZA DOS VALOS;-28.7959241;-53.2246622
CAMPESTRE DA SERRA;-28.7966535;-51.0958149
SOLEDADE;-28.8272467;-52.5109157
CAPÃO BONITO DO SUL;-28.1287941;-51.393771
TOROPI;-29.478246;-54.224398
SÃO FRANCISCO DE ASSIS;-29.559214;-55.1209843
DILERMANDO DE AGUIAR;-29.7049966;-54.2078988
LAGOA VERMELHA;-28.2087034;-51.527499
ENCRUZILHADA DO SUL;-30.5433066;-52.5223514
ESMERALDA;-28.0543707;-51.1921896
SANTA MARIA;-29.6860512;-53.8069214
FORMIGUEIRO;-29.9982245;-53.5029931
VERA CRUZ;-29.7157235;-52.5007403
VILA NOVA DO SUL;-30.343232;-53.8833913
GUABIJU;-28.5417413;-51.6910921
GUAÍBA;-30.1130731;-51.329442
SÃO SEPÉ;-30.167219;-53.5690914
IBIRAIARAS;-28.3705672;-51.6366969
IPÊ;-28.8189281;-51.2796422
