UF_LPI,MUN_LPI,Latitude,Longitude
RR,ALTO ALEGRE,2.9900927,-61.3089649
RR,PACARAIMA,4.4787884,-61.1389799
MA,AMARANTE DO MARANHÃO,-5.56913,-46.747284
PA,CONCEIÇÃO DO ARAGUAIA,-8.2696905,-49.2676864
AM,TAPAUÁ,-5.6232283,-63.1879157
AM,RIO PRETO DA EVA,-2.6990647,-59.7012494
AM,MANAQUIRI,-3.4305885,-60.4593078
AM,MANACAPURU,-3.2996768,-60.6213528
AM,SANTA ISABEL DO RIO NEGRO,-0.4160389,-65.0153096
AM,CAREIRO,-3.8185277,-60.3616505
AM,ANORI,-3.7435254,-61.6605203
AM,IRANDUBA,-3.2758203,-60.1867429
AM,TABATINGA,-4.2327349,-69.9263372
AM,BARCELOS,-0.9729214,-62.925635
AM,MANAUS,-3.1316333,-59.9825041
MS,PONTA PORÃ,-22.5286917,-55.723426
RO,PORTO VELHO,-8.7494525,-63.8735438
PA,ALMEIRIM,-1.5290377,-52.5788111
PA,AFUÁ,-0.1573523,-50.3908023
MT,MARCELÂNDIA,-11.0794264,-54.5202451
AM,PRESIDENTE FIGUEIREDO,-2.0486359,-60.0236658
PA,REDENÇÃO,-8.0299327,-50.0309543
PA,GURUPÁ,-1.406325,-51.6427456
PA,ÓBIDOS,-1.901072,-55.520812
PA,BANNACH,-7.3508505,-50.4064531
PA,FLORESTA DO ARAGUAIA,-7.5597065,-49.7032829
PA,ITAITUBA,-4.2625218,-55.9878139
RR,MUCAJAÍ,2.4486084,-60.9199986
RR,IRACEMA,2.1664742,-61.0513048
MT,CAMPINÁPOLIS,-14.5403731,-52.7970626
PA,BREVES,-1.68036,-50.479085
TO,RECURSOLÂNDIA,-8.7368677,-47.2416349
AM,ITACOATIARA,-3.1477898,-58.4461041
MT,NOVA GUARITA,-10.3102031,-55.4042689
TO,ANANÁS,-6.3663053,-48.080238
TO,PEDRO AFONSO,-8.9757351,-48.1733282
PA,SANTA MARIA DAS BARREIRAS,-8.8710157,-49.7171263
TO,FIGUEIRÓPOLIS,-12.1347916,-49.1737141
MT,PEIXOTO DE AZEVEDO,-10.2429203,-54.9919857
AM,BOCA DO ACRE,-8.7553487,-67.3930873
TO,GUARAÍ,-8.835429,-48.511432
AM,NOVO AIRÃO,-2.6260236,-60.9434406
RR,CANTÁ,2.60994,-60.605827
RR,UIRAMUTÃ,4.5958269,-60.1624807
TO,CAMPOS LINDOS,-7.9740597,-46.8023881
GO,MINAÇU,-13.5336413,-48.2184889
TO,PARANÃ,-12.616747,-47.873378
GO,NIQUELÂNDIA,-14.4648655,-48.4572244
GO,GOIÁS,-15.9408902,-50.1465398
GO,ALTO PARAÍSO DE GOIÁS,-14.1304779,-47.5100161
GO,SÃO JOÃO D'ALIANÇA,-14.7043453,-47.5206865
GO,COLINAS DO SUL,-14.1555935,-48.0729958
GO,CAVALCANTE,-13.7928414,-47.4568521
MT,BARRA DO GARÇAS,-15.8916033,-52.2615413
GO,DOVERLÂNDIA,-16.7210996,-52.3138104
TO,ARRAIAS,-12.9287788,-46.9437231
GO,MARA ROSA,-14.0148159,-49.1776521
GO,CORUMBAÍBA,-18.1348982,-48.564223
MT,QUERÊNCIA,-12.5944625,-52.2088505
GO,NOVA ROMA,-13.7393323,-46.8831607
TO,ALMAS,-11.5681309,-47.1702803
GO,AMARALINA,-13.9236199,-49.2962411
GO,TERESINA DE GOIÁS,-13.7789573,-47.266894
GO,PLANALTINA,-15.4571536,-47.6089024
GO,FLORES DE GOIÁS,-14.4580291,-47.0395396
GO,PADRE BERNARDO,-15.1676411,-48.2840561
GO,MIMOSO DE GOIÁS,-15.0584959,-48.1616116
GO,BONÓPOLIS,-13.649331,-49.8329113
MT,PORTO DOS GAÚCHOS,-11.532999,-57.413233
MT,DIAMANTINO,-14.4036262,-56.4364488
GO,NOVO BRASIL,-16.0337152,-50.7112124
MT,NOBRES,-14.7196233,-56.3351314
GO,JUSSARA,-15.874813,-50.867431
GO,URUAÇU,-14.5244164,-49.1510022
GO,VILA PROPÍCIO,-15.4558431,-48.8855024
SP,SANTA ALBERTINA,-20.0323485,-50.7278392
GO,URUANA,-15.4998907,-49.6870172
GO,JARAGUÁ,-15.7528866,-49.3344033
GO,AVELINÓPOLIS,-16.4672409,-49.7578661
GO,CORUMBÁ DE GOIÁS,-15.9268355,-48.8074659
