MUN_LPI;latitude;longitude
ALTO ALEGRE;2.9900927;-61.3089649
AMARANTE DO MARANHÃO;-5.56913;-46.747284
CONCEIÇÃO DO ARAGUAIA;-8.2696905;-49.2676864
RIO PRETO DA EVA;-2.6990647;-59.7012494
TAPAUÁ;-5.6232283;-63.1879157
MANAQUIRI;-3.4305885;-60.4593078
MANACAPURU;-3.2996768;-60.6213528
SANTA ISABEL DO RIO NEGRO;-0.4160389;-65.0153096
CAREIRO;-3.8185277;-60.3616505
ANORI;-3.7435254;-61.6605203
IRANDUBA;-3.2758203;-60.1867429
PONTA PORÃ;-22.5286917;-55.723426
PORTO VELHO;-8.7494525;-63.8735438
ALMEIRIM;-1.5290377;-52.5788111
AFUÁ;-0.1573523;-50.3908023
PRESIDENTE FIGUEIREDO;-2.0486359;-60.0236658
MARCELÂNDIA;-11.0794264;-54.5202451
REDENÇÃO;-8.0299327;-50.0309543
ÓBIDOS;-1.901072;-55.520812
BANNACH;-7.3508505;-50.4064531
FLORESTA DO ARAGUAIA;-7.5597065;-49.7032829
ITAITUBA;-4.2625218;-55.9878139
MUCAJAÍ;2.4486084;-60.9199986
IRACEMA;2.1664742;-61.0513048
CAMPINÁPOLIS;-14.5403731;-52.7970626
RECURSOLÂNDIA;-8.7368677;-47.2416349
BREVES;-1.68036;-50.479085
ITACOATIARA;-3.1477898;-58.4461041
ANANÁS;-6.3663053;-48.080238
NOVA GUARITA;-10.3102031;-55.4042689
SANTA MARIA DAS BARREIRAS;-8.8710157;-49.7171263
FIGUEIRÓPOLIS;-12.1347916;-49.1737141
PEIXOTO DE AZEVEDO;-10.2429203;-54.9919857
GUARAÍ;-8.835429;-48.511432
NOVO AIRÃO;-2.6260236;-60.9434406
UIRAMUTÃ;4.5958269;-60.1624807
MINAÇU;-13.5336413;-48.2184889
CAMPOS LINDOS;-7.9740597;-46.8023881
ALTO PARAÍSO DE GOIÁS;-14.1304779;-47.5100161
GOIÁS;-15.9408902;-50.1465398
DOVERLÂNDIA;-16.7210996;-52.3138104
CORUMBAÍBA;-18.1348982;-48.564223
NIQUELÂNDIA;-14.4648655;-48.4572244
ALMAS;-11.5681309;-47.1702803
NOVA ROMA;-13.7393323;-46.8831607
AMARALINA;-13.9236199;-49.2962411
MIMOSO DE GOIÁS;-15.0584959;-48.1616116
PLANALTINA;-15.4571536;-47.6089024
SÃO JOÃO D'ALIANÇA;-14.7043453;-47.5206865
DIAMANTINO;-14.4036262;-56.4364488
NOBRES;-14.7196233;-56.3351314
